
lo               UNKNOWN        00:00:00:00:00:00 <LOOPBACK,UP,LOWER_UP> 
eth0             UP             0c:00:75:02:7d:00 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp1             UP             aa:c1:ab:dc:fb:17 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp2             UP             aa:c1:ab:12:7c:ca <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp3             UP             aa:c1:ab:4c:5f:4e <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp4             UP             aa:c1:ab:65:01:c9 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp5             UP             aa:c1:ab:cb:6b:23 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp6             UP             aa:c1:ab:7e:c5:e4 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp7             UP             aa:c1:ab:b9:8c:2f <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp8             UP             aa:c1:ab:3c:44:28 <BROADCAST,MULTICAST,UP,LOWER_UP> 
mgmt             UP             12:d4:18:1a:fb:fc <NOARP,MASTER,UP,LOWER_UP> 
swp1.100@swp1    UP             aa:c1:ab:dc:fb:17 <BROADCAST,MULTICAST,UP,LOWER_UP> 
tenant-k8s       UP             86:82:58:b1:32:04 <NOARP,MASTER,UP,LOWER_UP> 
swp2.100@swp2    UP             aa:c1:ab:12:7c:ca <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp3.100@swp3    UP             aa:c1:ab:4c:5f:4e <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp4.100@swp4    UP             aa:c1:ab:65:01:c9 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp5.100@swp5    UP             aa:c1:ab:cb:6b:23 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp6.100@swp6    UP             aa:c1:ab:7e:c5:e4 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp1.200@swp1    UP             aa:c1:ab:dc:fb:17 <BROADCAST,MULTICAST,UP,LOWER_UP> 
tenant-svc       UP             9a:20:c1:f4:e3:72 <NOARP,MASTER,UP,LOWER_UP> 
swp2.200@swp2    UP             aa:c1:ab:12:7c:ca <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp3.200@swp3    UP             aa:c1:ab:4c:5f:4e <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp4.200@swp4    UP             aa:c1:ab:65:01:c9 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp5.200@swp5    UP             aa:c1:ab:cb:6b:23 <BROADCAST,MULTICAST,UP,LOWER_UP> 
swp6.200@swp6    UP             aa:c1:ab:7e:c5:e4 <BROADCAST,MULTICAST,UP,LOWER_UP> 
