

  
VIRTUAL ROUTER: default (id 1)
  ==========
  Prefix             Nexthop          Peer       Weight   LocPrf Org      MED flap AS-Path
 *10.167.10.0/24     10.201.0.4       agg1-k8s        0      100 i/c        0    0 65400,65114,65100,65111
 *10.167.10.11/32    10.201.0.4       agg1-k8s        0      100 igp        0    0 65400,65114,65100,65111
 *10.167.10.12/32    10.201.0.4       agg1-k8s        0      100 igp        0    0 65400,65114,65100,65111
 *10.167.10.13/32    10.201.0.4       agg1-k8s        0      100 igp        0    0 65400,65114,65100,65111
 *10.167.20.0/24     10.201.0.4       agg1-k8s        0      100 i/c        0    0 65400,65114,65100,65112
 *10.167.20.11/32    10.201.0.4       agg1-k8s        0      100 igp        0    0 65400,65114,65100,65112
 *10.167.20.12/32    10.201.0.4       agg1-k8s        0      100 igp        0    0 65400,65114,65100,65112
 *10.167.20.13/32    10.201.0.4       agg1-k8s        0      100 igp        0    0 65400,65114,65100,65112
 *10.168.10.0/24     10.201.0.4       agg1-k8s        0      100 i/c        0    0 65400,65213,65200,65211
 *10.168.10.11/32    10.201.0.4       agg1-k8s        0      100 igp        0    0 65400,65213,65200,65211
 *10.168.10.21/32    10.201.0.4       agg1-k8s        0      100 igp        0    0 65400,65213,65200,65211
 *10.168.10.22/32    10.201.0.4       agg1-k8s        0      100 igp        0    0 65400,65213,65200,65211
 *10.168.10.23/32    10.201.0.4       agg1-k8s        0      100 igp        0    0 65400,65213,65200,65211
 *10.201.20.0/30     10.201.0.4       agg1-k8s        0      100 igp        0    0 65400
 *10.201.20.8/30     10.201.0.4       agg1-k8s        0      100 igp        0    0 65400
 *192.168.202.0/32   10.201.0.4       agg1-k8s        0      100 igp        0    0 65400
 *192.168.202.1/32   10.201.0.4       agg1-k8s        0      100 igp        0    0 65400,65114,65100,65111,65010
 *192.168.202.2/32   10.201.0.4       agg1-k8s        0      100 igp        0    0 65400,65213,65200,65211,65020
 *192.168.202.3/32   10.201.0.4       agg1-k8s        0      100 igp        0    0 65400
 *192.168.202.4/32   10.201.0.4       agg1-k8s        0      100 igp        0    0 65400
 *10.167.30.0/24     10.201.1.4       agg1-svc        0      100 i/c        0    0 65400,65114,65100,65113
 *10.167.30.10/32    10.201.1.4       agg1-svc        0      100 igp        0    0 65400,65114,65100,65113
 *10.168.30.0/24     10.201.1.4       agg1-svc        0      100 i/c        0    0 65400,65213,65200,65212
 *10.168.30.10/32    10.201.1.4       agg1-svc        0      100 igp        0    0 65400,65213,65200,65212
  10.167.10.0/24     10.201.0.6       agg2-k8s        0      100 i/c        0    0 65400,65114,65100,65111
  10.167.10.11/32    10.201.0.6       agg2-k8s        0      100 igp        0    0 65400,65114,65100,65111
  10.167.10.12/32    10.201.0.6       agg2-k8s        0      100 igp        0    0 65400,65114,65100,65111
  10.167.10.13/32    10.201.0.6       agg2-k8s        0      100 igp        0    0 65400,65114,65100,65111
  10.167.20.0/24     10.201.0.6       agg2-k8s        0      100 i/c        0    0 65400,65114,65100,65112
  10.167.20.11/32    10.201.0.6       agg2-k8s        0      100 igp        0    0 65400,65114,65100,65112
  10.167.20.12/32    10.201.0.6       agg2-k8s        0      100 igp        0    0 65400,65114,65100,65112
  10.167.20.13/32    10.201.0.6       agg2-k8s        0      100 igp        0    0 65400,65114,65100,65112
  10.168.10.0/24     10.201.0.6       agg2-k8s        0      100 i/c        0    0 65400,65213,65200,65211
  10.168.10.11/32    10.201.0.6       agg2-k8s        0      100 igp        0    0 65400,65213,65200,65211
  10.168.10.21/32    10.201.0.6       agg2-k8s        0      100 igp        0    0 65400,65213,65200,65211
  10.168.10.22/32    10.201.0.6       agg2-k8s        0      100 igp        0    0 65400,65213,65200,65211
  10.168.10.23/32    10.201.0.6       agg2-k8s        0      100 igp        0    0 65400,65213,65200,65211
 *10.201.20.4/30     10.201.0.6       agg2-k8s        0      100 igp        0    0 65400
 *10.201.20.12/30    10.201.0.6       agg2-k8s        0      100 igp        0    0 65400
  192.168.202.0/32   10.201.0.6       agg2-k8s        0      100 igp        0    0 65400
  192.168.202.1/32   10.201.0.6       agg2-k8s        0      100 igp        0    0 65400,65114,65100,65111,65010
  192.168.202.2/32   10.201.0.6       agg2-k8s        0      100 igp        0    0 65400,65213,65200,65211,65020
  192.168.202.3/32   10.201.0.6       agg2-k8s        0      100 igp        0    0 65400
  192.168.202.4/32   10.201.0.6       agg2-k8s        0      100 igp        0    0 65400
  10.167.30.0/24     10.201.1.6       agg2-svc        0      100 i/c        0    0 65400,65114,65100,65113
  10.167.30.10/32    10.201.1.6       agg2-svc        0      100 igp        0    0 65400,65114,65100,65113
  10.168.30.0/24     10.201.1.6       agg2-svc        0      100 i/c        0    0 65400,65213,65200,65212
  10.168.30.10/32    10.201.1.6       agg2-svc        0      100 igp        0    0 65400,65213,65200,65212
 *0.0.0.0/0          10.80.15.1       Local           0      100 i/c        0    0 

total routes shown: 49

